VOTER,SINGER,SCORE,,,,,,,,
Azerbaijan,San Marino,3,3,,,,azerbaijan,san marino,3,"""azerbaijan"": {""san marino"":3,},"
Azerbaijan,Serbia,1,1,,,,azerbaijan,serbia,1,"""azerbaijan"": {""serbia"":0.5,},"
Azerbaijan,Slovenia,0,0,,,,azerbaijan,slovenia,0,"""azerbaijan"": {""slovenia"":0,},"
Azerbaijan,Spain,0,0,,,,azerbaijan,spain,0,"""azerbaijan"": {""spain"":0,},"
Azerbaijan,Sweden,2,2,,,,azerbaijan,sweden,2,"""azerbaijan"": {""sweden"":1.7,},"
Azerbaijan,Switzerland,0,0,,,,azerbaijan,switzerland,0,"""azerbaijan"": {""switzerland"":0,},"
Azerbaijan,The Netherlands,0,0,,,,azerbaijan,the netherlands,0,"""azerbaijan"": {""the netherlands"":0,},"
Azerbaijan,Turkey,12,12,,,,azerbaijan,turkey,12,"""azerbaijan"": {""turkey"":12,},"
Azerbaijan,U.K.,1,1,,,,azerbaijan,u.k.,1,"""azerbaijan"": {""u.k."":1,},"
Azerbaijan,Ukraine,10,10,,,,azerbaijan,ukraine,10,"""azerbaijan"": {""ukraine"":9.6,},"
Belarus,Belarus,-1,-1,,,,belarus,belarus,-1,"""belarus"": {""belarus"":-1,},"
Belarus,Slovakia,-1,-1,,,,belarus,slovakia,-1,"""belarus"": {""slovakia"":-1,},"
Belarus,Albania,0,0,,,,belarus,albania,0,"""belarus"": {""albania"":0,},"
Belarus,Armenia,5,5,,,,belarus,armenia,5,"""belarus"": {""armenia"":5.4,},"
Belarus,Austria,0,0,,,,belarus,austria,0,"""belarus"": {""austria"":0,},"
Belarus,Azerbaijan,7,7,,,,belarus,azerbaijan,7,"""belarus"": {""azerbaijan"":7.1,},"
Belarus,Belgium,0,0,,,,belarus,belgium,0,"""belarus"": {""belgium"":0,},"
Belarus,Bosnia & Herzegovina,0,0,,,,belarus,bosnia & herzegovina,0,"""belarus"": {""bosnia & herzegovina"":0.4,},"
Belarus,Bulgaria,0,0,,,,belarus,bulgaria,0,"""belarus"": {""bulgaria"":0,},"
Belarus,Croatia,1,1,,,,belarus,croatia,1,"""belarus"": {""croatia"":1,},"
Belarus,Cyprus,2,2,,,,belarus,cyprus,2,"""belarus"": {""cyprus"":2,},"
Belarus,Denmark,0,0,,,,belarus,denmark,0,"""belarus"": {""denmark"":0.2,},"
Belarus,Estonia,2,2,,,,belarus,estonia,2,"""belarus"": {""estonia"":2,},"
Belarus,F.Y.R. Macedonia,0,0,,,,belarus,f.y.r. macedonia,0,"""belarus"": {""f.y.r. macedonia"":0.4,},"
Belarus,Finland,1,1,,,,belarus,finland,1,"""belarus"": {""finland"":1.1,},"
Belarus,France,1,1,,,,belarus,france,1,"""belarus"": {""france"":0.6,},"
Belarus,Georgia,6,6,,,,belarus,georgia,6,"""belarus"": {""georgia"":6.2,},"
Belarus,Germany,1,1,,,,belarus,germany,1,"""belarus"": {""germany"":0.7,},"
Belarus,Greece,3,3,,,,belarus,greece,3,"""belarus"": {""greece"":2.7,},"
Belarus,Hungary,1,1,,,,belarus,hungary,1,"""belarus"": {""hungary"":1.2,},"
Belarus,Iceland,1,1,,,,belarus,iceland,1,"""belarus"": {""iceland"":0.5,},"
Belarus,Ireland,0,0,,,,belarus,ireland,0,"""belarus"": {""ireland"":0.1,},"
Belarus,Israel,4,4,,,,belarus,israel,4,"""belarus"": {""israel"":4,},"
Belarus,Italy,1,1,,,,belarus,italy,1,"""belarus"": {""italy"":0.8,},"
Belarus,Latvia,2,2,,,,belarus,latvia,2,"""belarus"": {""latvia"":1.5,},"
Belarus,Lithuania,4,4,,,,belarus,lithuania,4,"""belarus"": {""lithuania"":3.5,},"
Belarus,Malta,2,2,,,,belarus,malta,2,"""belarus"": {""malta"":2.1,},"
Belarus,Moldova,4,4,,,,belarus,moldova,4,"""belarus"": {""moldova"":4.4,},"
